,link,title,premise,post_time,highlight,information,detail
0,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Scientist, & CP ALL PUBLIC COMPANY LIMITED & Sathorn,3h ago, & Data Scientist & Strong analytical problem-solving abilities & IT Department,"Job TypeFull Time, PermanentCompany Websitehttp://www.cpall.co.thJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryWholesale / Retail","Function as a point of contact of the area of responsibility for advanced data analysis,
       Model development request and data analytics solutions
       Create relevant and deep strategic insights from large and complex data and leverage
       Operate and customize predictive models that deliver values to business units
       Collaborate with cross functional teams to develop new feature
       Implement end to end data analytics solutions"
1,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Scientist / Data Engineer," & Health Plaza Co., Ltd. & Huaykwang",5h ago, & Minimum 3 years Experience & data architecture and pipelines that adhere to ETL & Digital Healthcare,"Career LevelMiddleQualificationDegreeYears of Experience3 yearsJob TypeFull TimeCompany Websitehttps://www.health-plaza.com/Job FunctionsInformation Technology (IT), MIS, Programming / Software Development, Data Scientist &&& IndustryMedical/PharmaceuticalBenefits & OthersDental insurance, Free shuttle bus, Life insurance, Medical insurance, Overtime pay, Five-day work week, Flexible working hours","New Business under BDMS Group
We're looking for Data Scientist / Data Engineer 
Data Scientist
 Responsibilities :
Understands business problems and designs end to end analytics use cases
Develops complex models and algorithms that drive innovation throughout the organization. This may include improving on time performance, network planning
Conducts advanced statistical analysis to provide actionable insights, identify trends, and measure performance
Collaborates with model developers to implement and deploy scalable solutions
Provides thought leadership by researching best practices, conducting experiments, and collaborating with industry leaders
Requirements :
Bachelor's or Higher’ s degree in Computer Engineering, Computer Science, IT, or any related.
Minimum 3 years Experience in Data Scientist / Data Analyst position.
Deep knowledge of machine learning, statistics, optimization or related field
Experience with R, Python, Matlab is required, programming in C, C++, Java
SQL knowledge is a plus 
Experience working with large data sets , simulation/ optimization and distributed computing tools (eg., Map/Reduce, Hadoop, Hive, Spark, Gurobi, Arena)
Data Engineer
 Responsibilities :
Design data model for all data channels and element in Center of Excellence.
Responsible for managing data life-cycle.
Assisting in development and testing of new application, capabilities, and supporting technologies
Design overall Center of Excellence dashboard and data analytics preparation.
Explore and recommend self-service data analytics and dashboard generation.
Handle and enforce data governance to ensure correctness of data in production system.
Design enterprise data warehouse system to handle all enterprise data efficiently.
Manage project implementation relating to Center of Excellence data and cover operation support after system go-live.
Big Data and Advanced Analytic
Requirements :
Bachelor’s degree or higher in Computer Engineering, Computer Science, Information Technology, Applied Statistic or related field.
At least 3 years’ experience in data management, data warehousing or unstructured data environments
Experience with relational database systems, with expertise in MySQL and NoSQL database
Presentation skill and solution proposing skill is preferable.
Strong project management and organizational skills.
Strong interpersonal and communication skills.
Self-motivated, good analytical, and problems solving skills.
Location:     Bangkok Hospital / New Petchaburi Road 
Work Day:  Day and Night Shift 5 days / week

We Offer : 
         Flexible Benefits Budget (for Physical / Mental / Financial Wellness)
         Medical Insurance
         Life & Accidental Insurance
         Annual Leave
         Birthday Leave
         Flexible Work Hour 
         Great Leader and Team
         Exciting Journey
         Coaching and Mentor
         Learning & Development Opportunity
         Entrepreneurial and Agile Culture
         Provident Fun
         Free Shuttle Bus (ฺfrom BTS Prompong & MRT Petchaburi)"
2,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Scientist (Egg Data and Media)," & Ascend Group Co., Ltd. & Bangkok",3h ago, & Data Science & Data Analyst & Flexible Hours,"Career LevelEntry LevelQualificationDegreeYears of Experience1 yearJob TypeFull TimeJob FunctionsMedia & Advertising, Strategic Planning, E-commerce, Business Development, Information Technology (IT), Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Education allowance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Job Description
Data and Technical
Explore and understand large enterprise data sets (‘big data’) with varying complicity to lead effective analysis delivery
Work closely with data engineering and IT teams to extract the data/ set up processes required for different business functions and analysis
To be able to handle enterprise wide large datasets with flexibility in learning new platforms/ techniques and coding languages (e.g. SQL/ SAS/ Python/
Spark/ R/ VBA/ Python Dash/ Shiny/ Tableau/ other development platforms/ BI Tools) for analysis/ solution delivery
Custom and Insight Analysis
Understand clear business objectives, and be able to use varied data sources to draw insights & recommendations with a clear call to action
Be proficient with one or more analysis/ BI platforms/ tools and be flexible to learn more on the job to be able to solve the problem at hand
Work closely with both internal (commercial) stakeholders, and external clients to present/ convince and share recommendations and own analytic work plan
Support different business functions e.g. Merchandizing/ Pricing/ Operations/ CRM/ Media functions for insight needs
Giving recommendations on GTM strategy, channel, product, media, price, and promotion strategies
Analytical Solution Development/ SaaS Integration
Build and deploy basic KPI tracking tools/ dashboards, segmentation/ analysis, or productionization of statistical models by integration with existing SaaS solutions platform depending on business objectives
Be able to come up with an analytical framework to not only solve business questions but lead to the scalable commercialization of insights/ measurements or Business intelligence tools/ implementation frameworks
Stay on top of technical (coding) and statistical/ Machine Learning/ AI tools and techniques to recommend the best approach which is commercially viable, easy to interpret, and practical for businesses without hand holding
Requirement
Master’s degree in Mathematics/ Statistics/ Computer Science/ Business Management/ Analytics/ Data Science required
Experienced in working with analytics tools and techniques is mandatory.
On the job, recent, hands-on experience in coding/ statistical analysis/ and data management tools is a must.
Experience in Retail/ CPG/ Consumer Finance/ Telecom/ Pharmacy analytics is desirable.
Experience in working with customer focused, performance driven organizations is a plus
Technical: SQL/ SAS/ Python/ Spark/ R/ VBA/ Python Dash/ Shiny/ Tableau/ other development platforms/ BI Tools"
3,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Engineer, & RingZero IT Services Limited & Sathorn,29m ago," & 1+ yrs as Data Engineer & 1-2 yrs w/ AWS, Azure, or GCP & Exp. w/ Big Data & Streaming Data Networks","Career LevelMiddleQualificationDegreeYears of Experience1 yearJob TypeFull Time, PermanentCompany Websitehttp://ringzerogames.com/Job FunctionsInformation Technology (IT), Others, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersLife insurance, Medical insurance, Five-day work week","JOB DESCRIPTION
RingZero is looking for a talented Senior Data Engineer specialized on AWS cloud platform to help to develop and drive our businesses forward. You will join our Analytics department tasked with building pipelines using AWS cloud services. Responsible for the development, maintenance, improvement, cleaning, and manipulation of data in the business’s operational and analytics AWS cloud ecosystem as well as working with the business’s software engineers, data analytics teams, data scientists in order to understand and aid in the implementation of business requirements, analyze performance, and troubleshoot any existent issues.
Role & responsibilities:
Provide support to the Data and Analytics in database design, data flow and analysis activities.
Development and deployment of innovative pipelines using AWS cloud services
Update documentation associated with daily operations.
Define and build the data pipelines that will enable faster, better, data-informed decision-making within the business
Design and develop scalable ETL packages from the business source systems and the development of ETL routines in order to populate databases/datalake from sources and also to create aggregates.
Perform thorough testing and validation in order to support the accuracy of data transformations and data verification used in machine learning models.
Strive to ensure proper data governance and quality across the Data and Analytics department and the business as a whole.
Act as supporting role to various departments across the business where he supports and provides useful insights on the implementation of workflows.
Collaboratively work with the entire Data and Analytics team, providing support to the entire department for its data centric needs.
REQUIREMENTS
Bachelor’s degree in Computer Science, Applied Mathematics, Information Technology, Management Information Systems, Statistics, Engineering, or any other technology-related field.
At least 1-year of working experience in the data engineer field
1-2 years of experience on one of the following cloud analytics platform: AWS, Azure or GCP
Experience with AWS cloud services as Lambda, Glue, S3, Redshift, Kinesis
Experience in big data and streaming data frameworks (Hadoop/ Spark/ Kafka or equivalent) is preferable.
Strong knowledge of data governance, data catalog implementation and Data warehouse concept
Ability to work in a fast-moving environment and to deliver the project on time.
Ability to communicate in written English professionally, although verbal English skills would also be an advantage
 COMPENSATION PACKAGE
Competitive base salary based on experience plus variable incentive program
Health insurance plan                                                                                  
Provident fund
Support for required relocation
Visa and work permit
Access to sport club in our building (fitness, swimming pool)
WORK ENVIRONMENT
Our office is located in the center of Bangkok near the BTS (metro) Chong Nonsi.
Passionate team composed of hard-working and fun employees
Company activities (Ping pong, board games, birthday parties, etc.)"
4,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,"Data Analyst / Data Scientist (Python, SQL) (Campaign Analytics)", & Muang Thai Life Assurance Public Company Limited & Huaykwang,3h ago," & Develops and executes statistical analyses & Campaign Data Analytics & Coding skills in SQL, and Python is a must","Job TypeFull Time, PermanentJob FunctionsInformation Technology (IT), MIS, Marketing / Public Relations, Market Research, Data Scientist &&& IndustryInsurance/Pension FundingBenefits & OthersDental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Responsibilities:
Maintain and enhance insight and campaign data marts used for statistical modeling.
Develops and executes statistical analyses to meet business objectives and goals which include but not limited to cross-sell, up-sell, decision-tree, next-best-offer analyses, and customer/agent segmentations.
Perform the data processing of the pre-modeling/pre-scoring data preparation.
Provide results of analyses.
Capture analytical requirements that the current information from source systems do not support in order to provide additional business inputs to the Enterprise Data Warehouse project after enterprise data warehouse go-lives as well as implement the solution.
More for Data Scientist:
Develop models employing appropriate statistical and machine-learning techniques/methods such as Multivariate Regression, clustering, decision-trees, random forest etc. using R or Python under the supervision of a senior data analyst

Qualifications:
Bachelor’s degree or higher in Statistics, Decision Science, Mathematics, or related fields is preferred
Coding skills in SQL, and Python is a must
At least 1 year of work experience in statistical modeling with knowledge of different kinds of regression, Chi-Square Test, T-Test
Proficient in English and Thai: Reading, Writing, Conversing
Strong statistical background and analytical skills
Working experience with data visualization tools like Power BI, Tableau, Data Studio, and Qlik
Talent Acquisition Team, Human Resources Management Department (Head Office)
Muang Thai Life Assurance Public Company Limited
250 Ratchadaphisek Rd., Huaykwang, Bangkok 10310
Website: www.muangthai.co.th
Line Official Account: @mtlcareer
LinkedIn: Muang Thai Life Assurance Public Company Limited"
5,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Engineer, & Central Retail Corporation (CRC Talent Acquisition) & Pathumwan,3h ago, & Data Engineer & Work with data and technology infrastructure & Use agile development processes,"Career LevelEntry LevelQualificationDegreeYears of Experience3 yearsJob TypeFull Time, PermanentCompany Websitehttps://careers.centralgroup.com/Job FunctionsEngineering, Others, Information Technology (IT), Others, Data Scientist &&& IndustryWholesale / RetailBenefits & OthersDental insurance, Performance bonus, Five-day work week","Key Roles and Responsibilities

Work with data and technology infrastructure to solve business problems and improve processes
Use agile development processes to iteratively make improvements to our back-end systems
Model front-end and back-end data sources to help draw a more comprehensive picture of user flows throughout our system and enable powerful data analysis
Ensure data pipelines that clean, aggregate and transform data from disparate sources
Work closely with data science and business analytics teams to develop data models and pipelines for research, reporting, and machine learning
Be an advocate for best practices and continued learning

Qualifications

Bachelor’s degree in computer science, information technology, engineering, or equivalent
3 or more years of experience with a query programming language
Experience building and maintaining ELT/ETL processes
Familiar with a cloud platform and ecosystem
Communication skills, especially explaining technical concepts to non-technical business users/leaders
Previous retail and ecommerce experience is a significant plus
Strong logical thinking skills and experience of how to approach complex problems
Passion and extreme curiosity

For more detail, please contact me 094-365-1956 (K.Atikhun)"
6,th.jobsdb.com/th/jobs/in-samutprakarn-muang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Engineer, & Mattel Bangkok Limited & Samutprakarn > Muang,5h ago," & B.sci in Computer, IT, Statistic - 1 year contract & Microsoft power Bi, Power Automate & International environment with challenge benefits","Job TypeContractCompany Websitehttp://www.mattel.comJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryToysBenefits & OthersLife insurance, Five-day work week","Data Engineer builds and maintain data system, extract data from business system and construct datasets that are easy to analyze and support company requirements.  Works with representative from various departments to determine the relevant data, information and reports required to drive the performance and achieve respective departmental and overall plant goals.

Analyze and combine raw data from difference business/ process.
Create report & dashboard to interpret trends and critical information.
Explore ways to enhance data quality and reliability.
Develop analytical tools and programs.
Identify  opportunities for data acquisition
Work with respective team to build data systems and pipelines
Share and train the usage and application of developed report and dashboard with the operations personnel.
Qualification
B.sci in Computer, IT, Statistic or similar field.
Knowledge with SQL database design and data quality tool (Hands-on experience preferred)
Great numerical and analytical skills.
Ability to work independently with high tolerance for ambiguity and fast changing situations.
Well organized, with excellent interpersonal & communication skill
Knowledge with Microsoft power Bi, Power Automate."
7,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Engineer," & i-dac (Bangkok) Co., Ltd. & Pathumwan",3h ago,,"Job TypeFull Time, PermanentCompany Websitehttp://www.i-dacasia.comJob FunctionsMedia & Advertising, Strategic Planning, Information Technology (IT), DBA, MIS &&& IndustryAdvertising/Public Relations/Marketing ServicesBenefits & OthersDental insurance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Key Areas of Responsibilities
Responsibilities include, but not limited to:
Turn raw data into information and insights including identifying trends and patterns which can be used to make business decisions.
Conduct data analysis using SQL, Python, BigQuery, and visualize the result in reporting tool such as Google Data Studio, Power BI, and Tableau.
Design, build, and maintain automated data pipelines.
Develop and maintain various system integrations such as data importing from client’s database, CRM systems, 3rd party APIs, Digital Media Marketing Platforms, etc.
Evaluate client business challenges and work with the team to design and implement reliable, scalable data solutions using on-premise and modern cloud technologies such as AWS, Azure and GCP.
Support data tracking system implementation such as Google Analytics and Google Tag Manager.
Qualifications and Experience
2 years or more of experiences as Data Analyst or Data Engineer or any related field.
In-depth knowledge of SQL databases and ability to execute complex queries in timely manner.
Proficiency in data analysis using SQL, Python, R etc.
Proven history of designing and delivering data lake and data warehousing solutions.
Experience of using any Data Integration/ETL tools such as SQL Server Integration Services.
Experience with at least one Visualization Tool such as Data Studio, Power BI, Tableau, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Familiarity with analyzing digital marketing, advertising and ecommerce data.
Experience with cloud platforms such as AWS, Azure, and Google Cloud.
Knowledge of Google Analytics and Tag Manager.
API expertise for Digital Media Marketing platforms such as Google Analytics, Facebook, etc. is a plus.
Experience with a range of new and emerging technologies from the Google Cloud Platform is a plus.
Strong passions and interests in digital/data marketing.
Communication and Presentation skills in English and Thai. Write, speak and present clearly to communicate complex ideas in a way that is easy to understand.
Perks:
Advancement opportunities.
Training and development opportunities.
Opportunity to join a fast-paced and innovative company in the digital media space.
Access to an array of industry-leading and exclusive digital tools/technologies.
Work on leading global brands in the Hakuhodo group network."
8,th.jobsdb.com/th/jobs/in-wattana/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Engineer," & Kiss of Beauty Co., Ltd. & Wattana",5h ago, & At least 2 years’ working experience & Data architecture principles & Knowledge in ERP System(Oracle Netsuite) is a plus,"Career LevelSeniorQualificationDegreeYears of Experience2 yearsJob TypeFull Time, PermanentCompany Websitehttps://www.malissakiss.com/Job FunctionsInformation Technology (IT), DBA, Programming / Software Development, Data Scientist &&& IndustryHealth & Beauty CareBenefits & OthersDental insurance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Key Responsibilities
Identify and assemble large, complex data sets to meet the business requirements
Build the infrastructure for extraction, transformation, and load data from a wide variety of data sources
Design, implement, deploy and automate ETL/ELT processes
Build optimized data platform including data pipeline, data lake, and data warehouse using Cloud Platform (AWS, GCP, Azure)
Collaborate with key stakeholders including the Executive, Business Units, Data and IT teams to assist with data-related technical issues and support their data infrastructure needs
Key Requirements
Bachelor's or Master's degree in computer science, computer engineering or related fields
At least 2 years’ working experience as Data Engineer
Have a good understanding of data architecture principles
Know UNIX/LINUX shell script command
Know about developing software to integrate with Social Media (GA, Facebook, Line, Email, etc.)
Have experience in Cloud-based software development, deploy software on Cloud (Google Cloud Platform preferred)
Have experience in practical API development (Know how to use Backend Framework like Flask, Django, etc.) and Version control systems such as Git, Bitbucket, etc.
Experience with programming languages e.g., SQL, Python, R, Java, Scala
Knowledge in ERP Systems such as Oracle Netsuite is a plus"
9,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=1d,Data Analyst, & LINE Company (Thailand) Limited & Pathumwan,3h ago," & 3+ years of experience in relevant fields & Experienced in analysis tools - SQL, R, and Python & Comfort working with Hadoop Ecosystem","Career LevelSeniorQualificationDegreeYears of Experience3 yearsJob TypeFull Time, PermanentJob FunctionsInformation Technology (IT), Programming / Software Development, IT Consulting, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Gratuity, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","Department: Common Engineering
Team: Datalabs
[Responsibilities]
Boost LINE service quality by leveraging exploratory and advanced data analysis
Define and measure service metrics
Support data-driven decisions by statistical hypothesis testing
Visualize and simplify the data of LINE services (e.g., LINE Shopping, LINE TV, etc.)
[Required Qualifications]
3+ years of experience in relevant fields
Advanced SQL skills and comfort working with Hadoop Ecosystem
Experience with common analysis tools - SQL, R, and Python (Hive or Spark is a plus)
A product mindset - ask and address the most important analytical questions with a view on enhancing product’s impact
Great communication skills, organization skills, as well as multitasking and teamwork ability
[Preferred Qualifications]
Experience in implementing a real-world Recommender or Ranking system
Experience with A/B testing environment
Experience in advertising technology
Software engineering background
[Location]
LINE Head Office, Gaysorn Village, Bangkok"
